x,t = 15s,t = 30s,t = 60s,t = 90s,t = 150s,t = 210s
0,37.0699,43.0512,50.2714,54.1032,57.2241,58.1065
4e-06,37.0668,43.0482,50.2683,54.1001,57.221,58.1035
8e-06,37.0638,43.0451,50.2653,54.0971,57.218,58.1004
1.2e-05,37.0607,43.0421,50.2622,54.094,57.215,58.0974
1.6e-05,37.0577,43.0391,50.2592,54.091,57.2119,58.0943
2e-05,37.0546,43.036,50.2562,54.0879,57.2089,58.0913
2.4e-05,37.0516,43.033,50.2531,54.0849,57.2058,58.0882
2.8e-05,37.0485,43.0299,50.2501,54.0819,57.2028,58.0852
3.2e-05,37.0455,43.0269,50.247,54.0788,57.1997,58.0821
3.6e-05,37.0424,43.0238,50.244,54.0758,57.1967,58.0791
4e-05,37.0394,43.0208,50.2409,54.0727,57.1936,58.0761
4.4e-05,37.0364,43.0177,50.2379,54.0697,57.1906,58.073
4.8e-05,37.0333,43.0147,50.2348,54.0666,57.1875,58.07
5.2e-05,37.0303,43.0116,50.2318,54.0636,57.1845,58.0669
5.6e-05,37.0272,43.0086,50.2287,54.0605,57.1815,58.0639
6e-05,37.0242,43.0056,50.2257,54.0575,57.1784,58.0608
6.4e-05,37.0211,43.0025,50.2227,54.0545,57.1754,58.0578
6.8e-05,37.0181,42.9995,50.2196,54.0514,57.1723,58.0548
7.2e-05,37.0151,42.9964,50.2166,54.0484,57.1693,58.0517
7.6e-05,37.012,42.9934,50.2135,54.0453,57.1662,58.0487
8e-05,37.009,42.9903,50.2105,54.0423,57.1632,58.0456
8.4e-05,37.0059,42.9873,50.2075,54.0392,57.1602,58.0426
8.8e-05,37.0029,42.9843,50.2044,54.0362,57.1571,58.0395
9.2e-05,36.9999,42.9812,50.2014,54.0332,57.1541,58.0365
9.6e-05,36.9968,42.9782,50.1983,54.0301,57.151,58.0335
0.0001,36.9938,42.9751,50.1953,54.0271,57.148,58.0304
0.000104,36.9907,42.9721,50.1923,54.024,57.145,58.0274
0.000108,36.9877,42.9691,50.1892,54.021,57.1419,58.0244
0.000112,36.9847,42.966,50.1862,54.018,57.1389,58.0213
0.000116,36.9816,42.963,50.1831,54.0149,57.1358,58.0183
0.00012,36.9786,42.96,50.1801,54.0119,57.1328,58.0152
0.000124,36.9756,42.9569,50.1771,54.0089,57.1298,58.0122
0.000128,36.9725,42.9539,50.174,54.0058,57.1267,58.0092
0.000132,36.9695,42.9509,50.171,54.0028,57.1237,58.0061
