t,x0,xM/2,xM
0,20,20,20
0.5,24.2886,20.1226,20.007
1,26.3874,20.3963,20.0348
1.5,27.929,20.7842,20.0977
2,29.1871,21.2413,20.2051
2.5,30.2658,21.7345,20.3606
3,31.2175,22.2433,20.5627
3.5,32.0736,22.756,20.807
4,32.8544,23.266,21.0874
4.5,33.5743,23.7698,21.3978
5,34.244,24.2655,21.732
5.5,34.8716,24.7523,22.0848
6,35.4634,25.2296,22.4515
6.5,36.0244,25.6974,22.8281
7,36.5588,26.1557,23.2114
7.5,37.0699,26.6045,23.5987
8,37.5603,27.0441,23.9878
8.5,38.0324,27.4746,24.3768
9,38.488,27.8961,24.7644
9.5,38.9286,28.3088,25.1492
10,39.3556,28.7129,25.5306
10.5,39.7701,29.1087,25.9076
11,40.1729,29.4962,26.2798
11.5,40.5649,29.8756,26.6466
12,40.9467,30.2471,27.0079
12.5,41.3189,30.6109,27.3632
13,41.682,30.967,27.7125
13.5,42.0364,31.3158,28.0556
14,42.3825,31.6573,28.3925
14.5,42.7207,31.9917,28.7231
15,43.0512,32.3191,29.0474
15.5,43.3744,32.6398,29.3655
16,43.6904,32.9537,29.6773
16.5,43.9995,33.2611,29.983
17,44.3019,33.562,30.2826
17.5,44.5977,33.8568,30.5761
18,44.8873,34.1453,30.8638
18.5,45.1706,34.4279,31.1456
19,45.4479,34.7046,31.4216
19.5,45.7193,34.9755,31.692
20,45.985,35.2407,31.9568
20.5,46.2451,35.5005,32.2162
21,46.4997,35.7548,32.4703
21.5,46.749,36.0038,32.7191
22,46.993,36.2477,32.9627
22.5,47.2319,36.4864,33.2013
23,47.4658,36.7202,33.435
23.5,47.6949,36.9491,33.6638
24,47.9191,37.1733,33.8878
24.5,48.1386,37.3928,34.1073
25,48.3536,37.6077,34.3221
25.5,48.5641,37.8181,34.5325
26,48.7702,38.0241,34.7385
26.5,48.9719,38.2259,34.9402
27,49.1695,38.4234,35.1377
27.5,49.363,38.6169,35.3311
28,49.5524,38.8063,35.5205
28.5,49.7379,38.9917,35.706
29,49.9195,39.1733,35.8875
29.5,50.0973,39.3511,36.0653
