x,numeric,exacte
0,58.4544,58.4487
4e-06,58.4513,58.4457
8e-06,58.4483,58.4426
1.2e-05,58.4452,58.4396
1.6e-05,58.4422,58.4365
2e-05,58.4391,58.4335
2.4e-05,58.4361,58.4305
2.8e-05,58.4331,58.4274
3.2e-05,58.43,58.4244
3.6e-05,58.427,58.4213
4e-05,58.4239,58.4183
4.4e-05,58.4209,58.4152
4.8e-05,58.4178,58.4122
5.2e-05,58.4148,58.4091
5.6e-05,58.4117,58.4061
6e-05,58.4087,58.4031
6.4e-05,58.4057,58.4
6.8e-05,58.4026,58.397
7.2e-05,58.3996,58.3939
7.6e-05,58.3965,58.3909
8e-05,58.3935,58.3878
8.4e-05,58.3904,58.3848
8.8e-05,58.3874,58.3818
9.2e-05,58.3844,58.3787
9.6e-05,58.3813,58.3757
0.0001,58.3783,58.3726
0.000104,58.3752,58.3696
0.000108,58.3722,58.3666
0.000112,58.3692,58.3635
0.000116,58.3661,58.3605
0.00012,58.3631,58.3575
0.000124,58.3601,58.3544
0.000128,58.357,58.3514
0.000132,58.354,58.3483
0.000136,58.351,58.3453
0.00014,58.3479,58.3423
0.000144,58.3449,58.3392
0.000148,58.3418,58.3362
0.000152,58.3388,58.3332
0.000156,58.3358,58.3301
0.00016,58.3327,58.3271
0.000164,58.3297,58.3241
0.000168,58.3267,58.321
0.000172,58.3237,58.318
0.000176,58.3206,58.315
0.00018,58.3176,58.312
0.000184,58.3146,58.3089
0.000188,58.3115,58.3059
0.000192,58.3085,58.3029
0.000196,58.3055,58.2998
0.0002,58.3024,58.2968
0.000204,58.2994,58.2938
0.000208,58.2964,58.2907
0.000212,58.2934,58.2877
0.000216,58.2903,58.2847
0.00022,58.2873,58.2817
0.000224,58.2843,58.2786
0.000228,58.2813,58.2756
0.000232,58.2782,58.2726
0.000236,58.2752,58.2696
0.00024,58.2722,58.2665
0.000244,58.2691,58.2635
0.000248,58.2661,58.2605
0.000252,58.2631,58.2575
0.000256,58.2601,58.2544
0.00026,58.2571,58.2514
0.000264,58.254,58.2484
0.000268,58.251,58.2454
0.000272,58.248,58.2424
0.000276,58.245,58.2393
0.00028,58.2419,58.2363
0.000284,58.2389,58.2333
0.000288,58.2359,58.2303
0.000292,58.2329,58.2273
0.000296,58.2299,58.2242
0.0003,58.2268,58.2212
0.000304,58.2238,58.2182
0.000308,58.2208,58.2152
0.000312,58.2178,58.2122
0.000316,58.2148,58.2091
0.00032,58.2118,58.2061
0.000324,58.2087,58.2031
0.000328,58.2057,58.2001
0.000332,58.2027,58.1971
0.000336,58.1997,58.1941
0.00034,58.1967,58.1911
0.000344,58.1937,58.188
0.000348,58.1907,58.185
0.000352,58.1876,58.182
0.000356,58.1846,58.179
0.00036,58.1816,58.176
0.000364,58.1786,58.173
0.000368,58.1756,58.17
0.000372,58.1726,58.1669
0.000376,58.1696,58.1639
0.00038,58.1666,58.1609
0.000384,58.1635,58.1579
0.000388,58.1605,58.1549
0.000392,58.1575,58.1519
0.000396,58.1545,58.1489
0.0004,58.1515,58.1459
0.000404,58.1485,58.1429
0.000408,58.1455,58.1399
